dataset_version,generated_at,entity_kind,entity_name,rank,taxon,n_species,risk_preference,temporal_discount_rate,effort_price_elasticity,cooperation_propensity,inequity_sensitivity,punishment_propensity,tokenization_capacity,risk_preference_lower,temporal_discount_rate_lower,effort_price_elasticity_lower,cooperation_propensity_lower,inequity_sensitivity_lower,punishment_propensity_lower,tokenization_capacity_lower,risk_preference_upper,temporal_discount_rate_upper,effort_price_elasticity_upper,cooperation_propensity_upper,inequity_sensitivity_upper,punishment_propensity_upper,tokenization_capacity_upper,uncertainty_sd,provenance_type,source_model,calibration_applied,calibration_refs
0.6.0,2026-03-19T19:37:13Z,taxon,Anguilliformes,order,Anguilliformes,2,1.188376,0.793374,-1.558422,0.257891,0.431515,0.297928,0.27042,1.057051,0.662049,-1.689747,0.126567,0.300191,0.166603,0.139095,1.3197,0.924698,-1.427098,0.389216,0.56284,0.429252,0.401744,0.067002,imputed_taxonomy,taxon_aggregate_v1,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
0.6.0,2026-03-19T19:37:13Z,taxon,Anseriformes,order,Anseriformes,7,0.923188,0.425317,-0.996898,0.686857,0.675906,0.575762,0.788031,0.823252,0.325382,-1.096833,0.586922,0.575971,0.475826,0.688095,1.023123,0.525253,-0.896962,0.786793,0.775842,0.675697,0.887966,0.050988,imputed_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021
0.6.0,2026-03-19T19:37:13Z,taxon,Apodiformes,order,Apodiformes,3,0.942891,0.541136,-0.943082,0.510884,0.52834,0.444567,0.64542,0.813013,0.411258,-1.07296,0.381006,0.398462,0.314689,0.515542,1.072769,0.671014,-0.813203,0.640762,0.658218,0.574445,0.775298,0.066264,imputed_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021
0.6.0,2026-03-19T19:37:13Z,taxon,Apterygiformes,order,Apterygiformes,1,0.95392,0.488285,-1.000362,0.556867,0.617224,0.509825,0.704105,0.595407,0.129772,-1.358875,0.198354,0.258711,0.151312,0.345592,1.312433,0.846798,-0.641849,0.91538,0.975737,0.868338,1.0,0.182915,imputed_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021
0.6.0,2026-03-19T19:37:13Z,taxon,Artiodactyla,order,Artiodactyla,23,0.896097,0.349269,-0.996366,0.702591,0.703108,0.561424,0.746487,0.809893,0.263065,-1.08257,0.616387,0.616904,0.47522,0.660283,0.9823,0.435472,-0.910163,0.788794,0.789311,0.647627,0.83269,0.043981,imputed_taxonomy,taxon_aggregate_v1,true,mammal_cooperation_meta_2021|mammal_fairness_review_2019
0.6.0,2026-03-19T19:37:13Z,taxon,Blattodea,order,Blattodea,2,1.180705,0.946521,-1.084941,0.429298,0.456781,0.403697,0.393204,1.033364,0.799179,-1.232283,0.281957,0.309439,0.256356,0.245863,1.328046,1.093862,-0.9376,0.57664,0.604122,0.551038,0.540545,0.075174,imputed_taxonomy,taxon_aggregate_v1,true,insect_collective_action_meta_2020|insect_foraging_risk_2017
0.6.0,2026-03-19T19:37:13Z,taxon,Bucerotiformes,order,Bucerotiformes,2,0.996226,0.426899,-0.987842,0.550741,0.63108,0.491219,0.680483,0.853742,0.284415,-1.130326,0.408257,0.488596,0.348735,0.537999,1.13871,0.569383,-0.845358,0.693225,0.773564,0.633703,0.822967,0.072696,imputed_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021
0.6.0,2026-03-19T19:37:13Z,taxon,Caprimulgiformes,order,Caprimulgiformes,1,0.952591,0.496428,-0.973889,0.57175,0.619088,0.514649,0.711414,0.591553,0.13539,-1.334927,0.210712,0.25805,0.153611,0.350376,1.313629,0.857466,-0.612851,0.932788,0.980126,0.875687,1.0,0.184203,imputed_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021
0.6.0,2026-03-19T19:37:13Z,taxon,Carnivora,order,Carnivora,42,1.015623,0.438712,-1.145167,0.582743,0.638714,0.492335,0.68292,0.935221,0.35831,-1.225568,0.502342,0.558312,0.411934,0.602519,1.096024,0.519113,-1.064766,0.663144,0.719115,0.572736,0.763322,0.041021,imputed_taxonomy,taxon_aggregate_v1,true,mammal_cooperation_meta_2021|mammal_fairness_review_2019
0.6.0,2026-03-19T19:37:13Z,taxon,Casuariiformes,order,Casuariiformes,2,0.974689,0.347344,-1.131616,0.578972,0.644641,0.512432,0.712839,0.820316,0.192972,-1.285989,0.424599,0.490268,0.358059,0.558466,1.129062,0.501717,-0.977243,0.733344,0.799014,0.666805,0.867212,0.078762,imputed_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021
0.6.0,2026-03-19T19:37:13Z,taxon,Cathartiformes,order,Cathartiformes,2,0.975253,0.421873,-1.065739,0.586811,0.618018,0.504341,0.68927,0.793856,0.240476,-1.247136,0.405414,0.436621,0.322944,0.507874,1.15665,0.60327,-0.884342,0.768208,0.799415,0.685738,0.870667,0.092549,imputed_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021
0.6.0,2026-03-19T19:37:13Z,taxon,Cetacea,order,Cetacea,16,0.866316,0.314268,-1.100385,0.722044,0.687261,0.57538,0.777616,0.77514,0.223092,-1.191561,0.630868,0.596085,0.484204,0.68644,0.957492,0.405444,-1.009209,0.81322,0.778437,0.666556,0.868792,0.046518,imputed_taxonomy,taxon_aggregate_v1,true,mammal_cooperation_meta_2021|mammal_fairness_review_2019
0.6.0,2026-03-19T19:37:13Z,taxon,Characiformes,order,Characiformes,7,0.862669,0.587019,-0.88481,0.650687,0.600261,0.518101,0.500574,0.75451,0.47886,-0.99297,0.542528,0.492102,0.409941,0.392415,0.970828,0.695178,-0.776651,0.758847,0.708421,0.62626,0.608733,0.055183,imputed_taxonomy,taxon_aggregate_v1,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
0.6.0,2026-03-19T19:37:13Z,taxon,Charadriiformes,order,Charadriiformes,13,0.924104,0.484199,-0.965698,0.68904,0.64857,0.567801,0.783018,0.832105,0.3922,-1.057698,0.597041,0.556571,0.475802,0.691019,1.016103,0.576198,-0.873699,0.78104,0.740569,0.6598,0.875017,0.046938,imputed_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021
0.6.0,2026-03-19T19:37:13Z,taxon,Chiroptera,order,Chiroptera,11,0.926978,0.741862,-0.790963,0.705625,0.672614,0.54985,0.742192,0.824502,0.639386,-0.893439,0.60315,0.570138,0.447374,0.639716,1.029454,0.844338,-0.688487,0.808101,0.77509,0.652326,0.844667,0.052284,imputed_taxonomy,taxon_aggregate_v1,true,mammal_cooperation_meta_2021|mammal_fairness_review_2019
0.6.0,2026-03-19T19:37:13Z,taxon,Cichliformes,order,Cichliformes,9,0.947045,0.605513,-1.001274,0.592476,0.588581,0.493963,0.47338,0.851381,0.509849,-1.096938,0.496812,0.492917,0.398299,0.377716,1.042709,0.701177,-0.90561,0.68814,0.684245,0.589628,0.569044,0.048808,imputed_taxonomy,taxon_aggregate_v1,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
0.6.0,2026-03-19T19:37:13Z,taxon,Ciconiiformes,order,Ciconiiformes,2,0.962698,0.384591,-1.120731,0.491736,0.559955,0.446524,0.634233,0.813626,0.235519,-1.269803,0.342663,0.410882,0.297452,0.48516,1.111771,0.533664,-0.971658,0.640808,0.709027,0.595596,0.783305,0.076057,imputed_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021
0.6.0,2026-03-19T19:37:13Z,taxon,Cingulata,order,Cingulata,1,0.940515,0.445847,-1.084923,0.574634,0.641889,0.507304,0.691091,0.585492,0.090824,-1.439946,0.219611,0.286866,0.152281,0.336068,1.295538,0.80087,-0.7299,0.929657,0.996912,0.862327,1.0,0.181134,imputed_taxonomy,taxon_aggregate_v1,true,mammal_cooperation_meta_2021|mammal_fairness_review_2019
0.6.0,2026-03-19T19:37:13Z,taxon,Coleoptera,order,Coleoptera,19,1.12846,0.870606,-1.024272,0.456375,0.517779,0.426986,0.402065,1.039945,0.782092,-1.112787,0.36786,0.429265,0.338471,0.313551,1.216974,0.959121,-0.935758,0.544889,0.606294,0.5155,0.49058,0.04516,imputed_taxonomy,taxon_aggregate_v1,true,insect_collective_action_meta_2020|insect_foraging_risk_2017
0.6.0,2026-03-19T19:37:13Z,taxon,Columbiformes,order,Columbiformes,3,1.043631,0.49944,-1.121287,0.607315,0.601042,0.518416,0.743762,0.921392,0.3772,-1.243526,0.485076,0.478803,0.396177,0.621523,1.16587,0.621679,-0.999048,0.729554,0.723281,0.640655,0.866001,0.062367,imputed_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021
0.6.0,2026-03-19T19:37:13Z,taxon,Cuculiformes,order,Cuculiformes,2,0.985277,0.456008,-1.070621,0.409999,0.545198,0.43098,0.611259,0.760399,0.231131,-1.295498,0.185122,0.32032,0.206102,0.386382,1.210155,0.680886,-0.845743,0.634877,0.770076,0.655858,0.836137,0.114734,imputed_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021
0.6.0,2026-03-19T19:37:13Z,taxon,Cypriniformes,order,Cypriniformes,17,0.923051,0.599614,-1.02684,0.636471,0.638117,0.533804,0.507822,0.835864,0.512427,-1.114027,0.549283,0.55093,0.446617,0.420634,1.010238,0.686801,-0.939653,0.723658,0.725304,0.620991,0.595009,0.044483,imputed_taxonomy,taxon_aggregate_v1,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
0.6.0,2026-03-19T19:37:13Z,taxon,Cyprinodontiformes,order,Cyprinodontiformes,1,1.085561,0.81535,-0.974291,0.548199,0.550153,0.469881,0.463709,0.904692,0.634481,-1.15516,0.36733,0.369284,0.289012,0.28284,1.26643,0.996219,-0.793422,0.729068,0.731022,0.65075,0.644578,0.09228,imputed_taxonomy,taxon_aggregate_v1,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
0.6.0,2026-03-19T19:37:13Z,taxon,Dasyuromorphia,order,Dasyuromorphia,1,1.14107,0.594683,-1.287967,0.437917,0.585658,0.412188,0.598977,0.933788,0.387401,-1.495249,0.230635,0.378376,0.204906,0.391695,1.348352,0.801965,-1.080685,0.645199,0.79294,0.61947,0.806259,0.105756,imputed_taxonomy,taxon_aggregate_v1,true,mammal_cooperation_meta_2021|mammal_fairness_review_2019
0.6.0,2026-03-19T19:37:13Z,taxon,Decapoda,order,Decapoda,1,1.123241,0.78216,-1.229854,0.45052,0.534843,0.42516,0.446924,0.964375,0.623294,-1.38872,0.291654,0.375977,0.266294,0.288058,1.282107,0.941026,-1.070988,0.609386,0.693709,0.584026,0.60579,0.081054,imputed_taxonomy,taxon_aggregate_v1,false,
0.6.0,2026-03-19T19:37:13Z,taxon,Didelphimorphia,order,Didelphimorphia,1,0.947268,0.448651,-1.13284,0.574352,0.634646,0.505433,0.692522,0.593962,0.095345,-1.486146,0.221046,0.28134,0.152127,0.339216,1.300574,0.801957,-0.779534,0.927658,0.987952,0.858739,1.0,0.180258,imputed_taxonomy,taxon_aggregate_v1,true,mammal_cooperation_meta_2021|mammal_fairness_review_2019
0.6.0,2026-03-19T19:37:13Z,taxon,Diprotodontia,order,Diprotodontia,4,0.842453,0.443221,-0.915682,0.77138,0.736508,0.605378,0.799769,0.689986,0.290753,-1.06815,0.618913,0.584041,0.452911,0.647301,0.994921,0.595688,-0.763215,0.923848,0.888976,0.757846,0.952236,0.07779,imputed_taxonomy,taxon_aggregate_v1,true,mammal_cooperation_meta_2021|mammal_fairness_review_2019
0.6.0,2026-03-19T19:37:13Z,taxon,Diptera,order,Diptera,14,1.218323,0.864561,-1.13536,0.403485,0.452791,0.392144,0.385273,1.124846,0.771084,-1.228836,0.310009,0.359314,0.298667,0.291797,1.311799,0.958037,-1.041883,0.496962,0.546267,0.48562,0.47875,0.047692,imputed_taxonomy,taxon_aggregate_v1,true,insect_collective_action_meta_2020|insect_foraging_risk_2017
0.6.0,2026-03-19T19:37:13Z,taxon,Esociformes,order,Esociformes,1,0.98375,0.565307,-1.265472,0.377233,0.512072,0.399452,0.369332,0.664699,0.246256,-1.584523,0.058182,0.193021,0.080401,0.050281,1.302801,0.884358,-0.946421,0.696284,0.831123,0.718503,0.688383,0.162781,imputed_taxonomy,taxon_aggregate_v1,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
0.6.0,2026-03-19T19:37:13Z,taxon,Eulipotyphla,order,Eulipotyphla,1,0.943397,0.449971,-1.122751,0.576924,0.637361,0.507882,0.695284,0.586783,0.093357,-1.479365,0.22031,0.280747,0.151268,0.33867,1.300011,0.806585,-0.766137,0.933538,0.993975,0.864496,1.0,0.181946,imputed_taxonomy,taxon_aggregate_v1,true,mammal_cooperation_meta_2021|mammal_fairness_review_2019
0.6.0,2026-03-19T19:37:13Z,taxon,Falconiformes,order,Falconiformes,2,0.955559,0.468227,-0.991867,0.551208,0.611368,0.506135,0.69239,0.690922,0.20359,-1.256503,0.286572,0.346731,0.241499,0.427753,1.220195,0.732863,-0.72723,0.815845,0.876004,0.770772,0.957026,0.135019,imputed_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021
0.6.0,2026-03-19T19:37:13Z,taxon,Galliformes,order,Galliformes,7,0.980883,0.46187,-0.955765,0.630378,0.658624,0.537493,0.739,0.875429,0.356416,-1.061219,0.524924,0.55317,0.432038,0.633546,1.086337,0.567324,-0.85031,0.735832,0.764078,0.642947,0.844454,0.053803,imputed_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021
0.6.0,2026-03-19T19:37:13Z,taxon,Gasterosteiformes,order,Gasterosteiformes,1,1.073053,0.719539,-1.055593,0.53466,0.558869,0.467057,0.448178,0.916535,0.563021,-1.212111,0.378142,0.402351,0.310539,0.29166,1.229571,0.876057,-0.899075,0.691178,0.715387,0.623575,0.604696,0.079856,imputed_taxonomy,taxon_aggregate_v1,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
0.6.0,2026-03-19T19:37:13Z,taxon,Gruiformes,order,Gruiformes,2,0.831926,0.410945,-0.856737,0.792803,0.737188,0.643768,0.85467,0.692495,0.271515,-0.996167,0.653373,0.597757,0.504337,0.71524,0.971356,0.550376,-0.717306,0.932234,0.876618,0.783198,0.994101,0.071138,imputed_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021
0.6.0,2026-03-19T19:37:13Z,taxon,Gymnotiformes,order,Gymnotiformes,1,1.152837,0.717235,-1.551343,0.297262,0.466828,0.327085,0.294414,0.995326,0.559724,-1.708854,0.139751,0.309317,0.169574,0.136903,1.310348,0.874746,-1.393832,0.454773,0.624339,0.484596,0.451925,0.080363,imputed_taxonomy,taxon_aggregate_v1,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
0.6.0,2026-03-19T19:37:13Z,taxon,Hemiptera,order,Hemiptera,5,1.024222,0.764612,-0.822037,0.607165,0.595501,0.520343,0.497582,0.905139,0.645529,-0.94112,0.488083,0.476419,0.40126,0.378499,1.143304,0.883694,-0.702955,0.726248,0.714584,0.639425,0.616664,0.060756,imputed_taxonomy,taxon_aggregate_v1,true,insect_collective_action_meta_2020|insect_foraging_risk_2017
0.6.0,2026-03-19T19:37:13Z,taxon,Hymenoptera,order,Hymenoptera,19,0.91458,0.801575,-0.518067,0.796094,0.703309,0.587017,0.607241,0.827158,0.714154,-0.605489,0.708673,0.615887,0.499595,0.51982,1.002001,0.888997,-0.430646,0.883516,0.79073,0.674438,0.694663,0.044603,imputed_taxonomy,taxon_aggregate_v1,true,hymenoptera_conflict_resolution_2018|insect_collective_action_meta_2020|insect_foraging_risk_2017
0.6.0,2026-03-19T19:37:13Z,taxon,Hyracoidea,order,Hyracoidea,1,0.866999,0.410492,-0.898966,0.76569,0.72078,0.59558,0.797144,0.66293,0.206423,-1.103035,0.561621,0.516711,0.391511,0.593075,1.071068,0.614561,-0.694897,0.969759,0.924849,0.799649,1.0,0.104117,imputed_taxonomy,taxon_aggregate_v1,true,mammal_cooperation_meta_2021|mammal_fairness_review_2019
0.6.0,2026-03-19T19:37:13Z,taxon,Lagomorpha,order,Lagomorpha,3,0.999872,0.518348,-1.116733,0.510085,0.537926,0.422525,0.585333,0.857864,0.37634,-1.25874,0.368077,0.395918,0.280517,0.443325,1.141879,0.660355,-0.974725,0.652092,0.679934,0.564532,0.72734,0.072453,imputed_taxonomy,taxon_aggregate_v1,true,mammal_cooperation_meta_2021|mammal_fairness_review_2019
0.6.0,2026-03-19T19:37:13Z,taxon,Lepidoptera,order,Lepidoptera,26,1.179299,0.786265,-1.08689,0.362069,0.479044,0.371038,0.339407,1.09312,0.700087,-1.173068,0.275891,0.392866,0.284859,0.253229,1.265477,0.872444,-1.000711,0.448248,0.565223,0.457216,0.425586,0.043969,imputed_taxonomy,taxon_aggregate_v1,true,insect_collective_action_meta_2020|insect_foraging_risk_2017
0.6.0,2026-03-19T19:37:13Z,taxon,Monotremata,order,Monotremata,2,0.938472,0.44744,-1.087431,0.580664,0.641587,0.507717,0.692256,0.66958,0.178547,-1.356324,0.311772,0.372695,0.238825,0.423364,1.207365,0.716332,-0.818539,0.849556,0.910479,0.776609,0.961149,0.13719,imputed_taxonomy,taxon_aggregate_v1,true,mammal_cooperation_meta_2021|mammal_fairness_review_2019
0.6.0,2026-03-19T19:37:13Z,taxon,Mugiliformes,order,Mugiliformes,1,0.900154,0.532067,-0.993399,0.699542,0.66223,0.571764,0.547949,0.701365,0.333278,-1.192188,0.500753,0.463441,0.372975,0.34916,1.098943,0.730856,-0.79461,0.898331,0.861019,0.770553,0.746738,0.101423,imputed_taxonomy,taxon_aggregate_v1,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
0.6.0,2026-03-19T19:37:13Z,taxon,Octopoda,order,Octopoda,1,1.143881,0.610028,-1.454423,0.398358,0.525501,0.406799,0.607273,0.945505,0.411652,-1.652799,0.199982,0.327125,0.208423,0.408897,1.342257,0.808404,-1.256047,0.596734,0.723877,0.605175,0.805649,0.101212,imputed_taxonomy,taxon_aggregate_v1,false,
0.6.0,2026-03-19T19:37:13Z,taxon,Orthoptera,order,Orthoptera,4,1.027838,0.779961,-0.831858,0.653867,0.631932,0.558002,0.529844,0.905213,0.657336,-0.954482,0.531242,0.509308,0.435378,0.40722,1.150462,0.902585,-0.709233,0.776491,0.754557,0.680626,0.652469,0.062563,imputed_taxonomy,taxon_aggregate_v1,true,insect_collective_action_meta_2020|insect_foraging_risk_2017
0.6.0,2026-03-19T19:37:13Z,taxon,Passeriformes,order,Passeriformes,58,0.995312,0.534796,-0.884533,0.629991,0.626862,0.526163,0.726427,0.920046,0.45953,-0.959799,0.554724,0.551596,0.450897,0.65116,1.070579,0.610063,-0.809266,0.705257,0.702129,0.60143,0.801693,0.038401,imputed_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021|corvid_token_tasks_2019
0.6.0,2026-03-19T19:37:13Z,taxon,Pelecaniformes,order,Pelecaniformes,7,0.958912,0.465945,-1.044894,0.552653,0.58033,0.4826,0.681086,0.85531,0.362343,-1.148496,0.449051,0.476729,0.378998,0.577485,1.062514,0.569547,-0.941292,0.656255,0.683932,0.586201,0.784688,0.052858,imputed_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021
0.6.0,2026-03-19T19:37:13Z,taxon,Perciformes,order,Perciformes,29,1.0013,0.552318,-1.285409,0.4842,0.555653,0.446812,0.423112,0.921374,0.472391,-1.365335,0.404273,0.475726,0.366885,0.343185,1.081227,0.632244,-1.205482,0.564126,0.635579,0.526738,0.503039,0.040779,imputed_taxonomy,taxon_aggregate_v1,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
0.6.0,2026-03-19T19:37:13Z,taxon,Perissodactyla,order,Perissodactyla,8,1.017939,0.391356,-1.257447,0.543605,0.626614,0.46801,0.661621,0.91613,0.289547,-1.359257,0.441795,0.524805,0.366201,0.559812,1.119749,0.493166,-1.155638,0.645414,0.728424,0.56982,0.763431,0.051944,imputed_taxonomy,taxon_aggregate_v1,true,mammal_cooperation_meta_2021|mammal_fairness_review_2019
0.6.0,2026-03-19T19:37:13Z,taxon,Phoenicopteriformes,order,Phoenicopteriformes,3,0.778398,0.418123,-0.751276,0.8758,0.778625,0.687068,0.901059,0.661242,0.300966,-0.868432,0.758644,0.661469,0.569911,0.783902,0.895555,0.535279,-0.634119,0.992957,0.895782,0.804224,1.0,0.059774,imputed_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021
0.6.0,2026-03-19T19:37:13Z,taxon,Pholidota,order,Pholidota,1,0.936342,0.445488,-1.069003,0.573767,0.642664,0.505187,0.686939,0.58267,0.091816,-1.422675,0.220095,0.288992,0.151515,0.333267,1.290014,0.79916,-0.715331,0.927439,0.996336,0.858859,1.0,0.180445,imputed_taxonomy,taxon_aggregate_v1,true,mammal_cooperation_meta_2021|mammal_fairness_review_2019
0.6.0,2026-03-19T19:37:13Z,taxon,Piciformes,order,Piciformes,4,0.930988,0.43941,-0.910495,0.497293,0.575937,0.462459,0.64133,0.757974,0.266396,-1.083509,0.324279,0.402923,0.289445,0.468316,1.104002,0.612424,-0.737481,0.670307,0.748951,0.635473,0.814344,0.088272,imputed_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021
0.6.0,2026-03-19T19:37:13Z,taxon,Pilosa,order,Pilosa,3,0.933789,0.433825,-1.076979,0.563253,0.637411,0.500174,0.680874,0.708725,0.20876,-1.302044,0.338189,0.412347,0.275109,0.455809,1.158854,0.658889,-0.851915,0.788317,0.862475,0.725238,0.905938,0.114829,imputed_taxonomy,taxon_aggregate_v1,true,mammal_cooperation_meta_2021|mammal_fairness_review_2019
