entity_kind,entity_id,species,common_name,class,family,is_seed,candidate_confidence_score,provenance_type,source_model,taxonomy_source,evidence_sources,source_citations,extraction_notes,ai_rationale_hash,prior_signature,calibration_applied,calibration_refs,generated_at
species,sp_b6a6b01241,Agrilus planipennis,Emerald ash borer,Insecta,Buprestidae,false,0.956,ai_estimated,hierarchical_bayes_taxonomy_v2,catalogue_of_life,assistant_curated_candidate_bank_v3_2026_03_19|auto_clade_profile_v2|hierarchical_bayes_taxonomy_v2,auto_clade_profile_v2|https://en.wikipedia.org/wiki/Agrilus_planipennis | https://en.wikipedia.org/w/index.php?search=Agrilus%20planipennis|insect_collective_action_meta_2020|insect_foraging_risk_2017,Insect clade profile: collective action and foraging-risk paradigms prioritized.,f785d3308e119ce14e00f55cc82f66d408272e9bb099219a0b877928aa880bd5,b6311f9efeb3f7e9843d31838a5b223b0b64be8f8a2576e52de30f40f955f1cd,true,insect_collective_action_meta_2020|insect_foraging_risk_2017,2026-03-19T19:37:14Z
species,sp_189fb7c89f,Ailuropoda melanoleuca,Giant panda,Mammalia,Ursidae,false,0.956,ai_estimated,hierarchical_bayes_taxonomy_v2,catalogue_of_life,assistant_curated_candidate_bank_v3_2026_03_19|auto_clade_profile_v2|hierarchical_bayes_taxonomy_v2,auto_clade_profile_v2|https://en.wikipedia.org/wiki/Ailuropoda_melanoleuca | https://en.wikipedia.org/w/index.php?search=Ailuropoda%20melanoleuca|mammal_cooperation_meta_2021|mammal_fairness_review_2019,Mammal clade profile: social exchange and fairness paradigms prioritized.,32f96440b511c112eebe4f8d65f4429a84d18f2a0d8f57c7ee12399c4890bcac,8b2ed6c92a71b4d1ae08a5e1f1850b9b8e7de7c15d82104e9f15245715c025b2,true,mammal_cooperation_meta_2021|mammal_fairness_review_2019,2026-03-19T19:37:14Z
species,sp_9b2e9a5e78,Ailurus fulgens,Red panda,Mammalia,Ailuridae,false,0.956,ai_estimated,hierarchical_bayes_taxonomy_v2,catalogue_of_life,assistant_curated_candidate_bank_v3_2026_03_19|auto_clade_profile_v2|hierarchical_bayes_taxonomy_v2,auto_clade_profile_v2|https://en.wikipedia.org/wiki/Ailurus_fulgens | https://en.wikipedia.org/w/index.php?search=Ailurus%20fulgens|mammal_cooperation_meta_2021|mammal_fairness_review_2019,Mammal clade profile: social exchange and fairness paradigms prioritized.,880160a206387a92c34a8f9ca5c1e746e67fbb199aabcdb16cdaf015fb829044,820278f69f0198596f2a0ad33ea8145395f193398ead28757e293792cdd2a20b,true,mammal_cooperation_meta_2021|mammal_fairness_review_2019,2026-03-19T19:37:14Z
species,sp_9032cb6ca1,Aix sponsa,Wood duck,Aves,Anatidae,false,0.956,ai_estimated,hierarchical_bayes_taxonomy_v2,catalogue_of_life,assistant_curated_candidate_bank_v3_2026_03_19|auto_clade_profile_v2|hierarchical_bayes_taxonomy_v2,auto_clade_profile_v2|avian_cooperation_synthesis_2018|avian_risk_choice_review_2021|https://en.wikipedia.org/wiki/Aix_sponsa | https://en.wikipedia.org/w/index.php?search=Aix%20sponsa,Avian clade profile: cooperation and uncertainty-sensitive foraging paradigms prioritized.,1ee468346e51bec8a61e780c58000abe06aac02a327bd1d348fabb095b3dd735,2faaed848d0658c28ec8d46f8e1a75dd1e57e6c95868e28c9e4d8d4e7cb6fc66,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021,2026-03-19T19:37:14Z
species,sp_b8116703d6,Alauda arvensis,Eurasian skylark,Aves,Alaudidae,false,0.956,ai_estimated,hierarchical_bayes_taxonomy_v2,catalogue_of_life,assistant_curated_candidate_bank_v3_2026_03_19|auto_clade_profile_v2|hierarchical_bayes_taxonomy_v2,auto_clade_profile_v2|avian_cooperation_synthesis_2018|avian_risk_choice_review_2021|https://en.wikipedia.org/wiki/Alauda_arvensis | https://en.wikipedia.org/w/index.php?search=Alauda%20arvensis,Avian clade profile: cooperation and uncertainty-sensitive foraging paradigms prioritized.,3a1bd9652e9142edadbd0b71668e12e1706e7dc69c344fb06590aa7551a94927,31a0b08f87c49e0e45bd63ee00e976e7c241d62fd0ee1a74c739a86b4b4f991a,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021,2026-03-19T19:37:14Z
species,sp_f541861592,Alca torda,Razorbill,Aves,Alcidae,false,0.956,ai_estimated,hierarchical_bayes_taxonomy_v2,catalogue_of_life,assistant_curated_candidate_bank_v3_2026_03_19|auto_clade_profile_v2|hierarchical_bayes_taxonomy_v2,auto_clade_profile_v2|avian_cooperation_synthesis_2018|avian_risk_choice_review_2021|https://en.wikipedia.org/wiki/Alca_torda | https://en.wikipedia.org/w/index.php?search=Alca%20torda,Avian clade profile: cooperation and uncertainty-sensitive foraging paradigms prioritized.,fa2b759e0ebd798abf1dd83aa3d894c9b51e3ca5de9f01a8653f143d12fc6da3,e2402170dca4aa97bc8c46ed6541221b8691a37bbc6710bf9ab6afc9d1b47581,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021,2026-03-19T19:37:14Z
species,sp_f128120b4b,Alces alces,Moose,Mammalia,Cervidae,false,0.956,ai_estimated,hierarchical_bayes_taxonomy_v2,catalogue_of_life,assistant_curated_candidate_bank_v3_2026_03_19|auto_clade_profile_v2|hierarchical_bayes_taxonomy_v2,auto_clade_profile_v2|https://en.wikipedia.org/wiki/Alces_alces | https://en.wikipedia.org/w/index.php?search=Alces%20alces|mammal_cooperation_meta_2021|mammal_fairness_review_2019,Mammal clade profile: social exchange and fairness paradigms prioritized.,e70385257b7e3a239e39b24d9fa417140676e1abe1e542a85550558f7306b36b,b9b02702555b8404f0c5721ba5e5f76378611a4181cacec070595b3dff1ea9d7,true,mammal_cooperation_meta_2021|mammal_fairness_review_2019,2026-03-19T19:37:14Z
species,sp_46b5361d2f,Alouatta palliata,Mantled howler,Mammalia,Atelidae,false,0.956,ai_estimated,hierarchical_bayes_taxonomy_v2,catalogue_of_life,assistant_curated_candidate_bank_v3_2026_03_19|auto_clade_profile_v2|hierarchical_bayes_taxonomy_v2,auto_clade_profile_v2|https://en.wikipedia.org/wiki/Alouatta_palliata | https://en.wikipedia.org/w/index.php?search=Alouatta%20palliata|mammal_cooperation_meta_2021|mammal_fairness_review_2019|primate_token_exchange_2022,Mammal clade profile: social exchange and fairness paradigms prioritized.,96e3853d507a71ce5f4d6dd95a509b5fac5639d3e88e65a0129a3a11991fc925,51c3732fcde3cb79c203fee6e98b20eea949c70066f6feb3e3c8584ea326a525,true,mammal_cooperation_meta_2021|mammal_fairness_review_2019|primate_token_exchange_2022,2026-03-19T19:37:14Z
species,sp_d9b6719054,Amatitlania nigrofasciata,Convict cichlid,Actinopterygii,Cichlidae,false,0.956,ai_estimated,hierarchical_bayes_taxonomy_v2,catalogue_of_life,assistant_curated_candidate_bank_v3_2026_03_19|auto_clade_profile_v2|hierarchical_bayes_taxonomy_v2,auto_clade_profile_v2|fish_delay_discounting_review_2020|https://en.wikipedia.org/wiki/Amatitlania_nigrofasciata | https://en.wikipedia.org/w/index.php?search=Amatitlania%20nigrofasciata|teleost_risk_behavior_meta_2022,Fish clade profile: risk-choice and reciprocal exchange proxies prioritized.,3a92b97d7b3945f3a8fe6e75c2d4df4225f6fa81d99d73be0ff4c05a0409f942,58c7bae0143e04a44ec385745a518ff27c4f447993288a810184915b1bdf2686,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022,2026-03-19T19:37:14Z
species,sp_bdc19bfcb4,Amazona amazonica,Orange-winged amazon,Aves,Psittacidae,false,0.956,ai_estimated,hierarchical_bayes_taxonomy_v2,catalogue_of_life,assistant_curated_candidate_bank_v3_2026_03_19|auto_clade_profile_v2|hierarchical_bayes_taxonomy_v2,auto_clade_profile_v2|avian_cooperation_synthesis_2018|avian_risk_choice_review_2021|https://en.wikipedia.org/wiki/Amazona_amazonica | https://en.wikipedia.org/w/index.php?search=Amazona%20amazonica,Avian clade profile: cooperation and uncertainty-sensitive foraging paradigms prioritized.,1b26f32234eedcf999579f1599eb0e8e2f0652ad2a55a02566d3155a22d475e6,57002b5b4a18aafeca47200f138afab9fed0dffa085c44065e53918600511f8d,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021,2026-03-19T19:37:14Z
species,sp_97e18297b4,Ameiurus nebulosus,Brown bullhead,Actinopterygii,Ictaluridae,false,0.956,ai_estimated,hierarchical_bayes_taxonomy_v2,catalogue_of_life,assistant_curated_candidate_bank_v3_2026_03_19|auto_clade_profile_v2|hierarchical_bayes_taxonomy_v2,auto_clade_profile_v2|fish_delay_discounting_review_2020|https://en.wikipedia.org/wiki/Ameiurus_nebulosus | https://en.wikipedia.org/w/index.php?search=Ameiurus%20nebulosus|teleost_risk_behavior_meta_2022,Fish clade profile: risk-choice and reciprocal exchange proxies prioritized.,91e65bf9e053ae18b2ca0c35a03429476853c5bda0beb03bde80ac1c9eec44c4,14f40bb5c316eb7f850ec1851a87e300329376e5ae0a7812099c191664ede6df,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022,2026-03-19T19:37:14Z
species,sp_94f2a8057d,Amphiprion ocellaris,False clownfish,Actinopterygii,Pomacentridae,false,0.956,ai_estimated,hierarchical_bayes_taxonomy_v2,catalogue_of_life,assistant_curated_candidate_bank_v2|auto_clade_profile_v2|hierarchical_bayes_taxonomy_v2,auto_clade_profile_v2|fish_delay_discounting_review_2020|https://en.wikipedia.org/wiki/Amphiprion_ocellaris | https://www.fishbase.se/summary/amphiprion-ocellaris.html|teleost_risk_behavior_meta_2022,Fish clade profile: risk-choice and reciprocal exchange proxies prioritized.,cdf9819b69d6cfd98b2953f99c919bb3bb5a6c502f1212379cb5bd53b2b9d632,7003a9fa3fb843213115fc7c3f63c0851cb7fc9fe45e86bbf2896b9da14ed56a,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022,2026-03-19T19:37:14Z
species,sp_9c5276526c,Anas platyrhynchos,Mallard,Aves,Anatidae,false,0.879,ai_estimated,hierarchical_bayes_taxonomy_v2,catalogue_of_life,auto_clade_profile_v2|curated_candidate_bank_v1|hierarchical_bayes_taxonomy_v2,auto_clade_profile_v2|avian_cooperation_synthesis_2018|avian_risk_choice_review_2021|waterfowl_behavior_atlas_2019,Avian clade profile: cooperation and uncertainty-sensitive foraging paradigms prioritized.,865133107f5658ae44fd2ed2790f962440c4f131c0f69cf2bef6be1697bb33ae,bbc85e74e36fd0a9a009621ccf20c355b6f14b44d873c0730e4ce63679c6c508,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021,2026-03-19T19:37:14Z
species,sp_6d33695766,Ancistrus cirrhosus,Bristlenose pleco,Actinopterygii,Loricariidae,false,0.956,ai_estimated,hierarchical_bayes_taxonomy_v2,catalogue_of_life,assistant_curated_candidate_bank_v3_2026_03_19|auto_clade_profile_v2|hierarchical_bayes_taxonomy_v2,auto_clade_profile_v2|fish_delay_discounting_review_2020|https://en.wikipedia.org/wiki/Ancistrus_cirrhosus | https://en.wikipedia.org/w/index.php?search=Ancistrus%20cirrhosus|teleost_risk_behavior_meta_2022,Fish clade profile: risk-choice and reciprocal exchange proxies prioritized.,91c6378dae6193c80258f7f446deb6debf8c6dee787acd1cf02e6e8effb10403,5509d6b3a2efd6af4e893fed9870d5ec99534aed8b477dac7d01f22d298e7135,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022,2026-03-19T19:37:14Z
species,sp_75598883ea,Anguilla anguilla,European eel,Actinopterygii,Anguillidae,false,0.956,ai_estimated,hierarchical_bayes_taxonomy_v2,catalogue_of_life,assistant_curated_candidate_bank_v3_2026_03_19|auto_clade_profile_v2|hierarchical_bayes_taxonomy_v2,auto_clade_profile_v2|fish_delay_discounting_review_2020|https://en.wikipedia.org/wiki/Anguilla_anguilla | https://en.wikipedia.org/w/index.php?search=Anguilla%20anguilla|teleost_risk_behavior_meta_2022,Fish clade profile: risk-choice and reciprocal exchange proxies prioritized.,bbc2321cd2f5561118af86a045bfd5850e1586d26d1a207ed2dc8f5a976ebdce,fdebc2ec841524d26ac352e9b9cdd7fd9edb3e8c6f1b8f0dd70af1344c506ffc,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022,2026-03-19T19:37:14Z
species,sp_799c357205,Anguilla rostrata,American eel,Actinopterygii,Anguillidae,false,0.956,ai_estimated,hierarchical_bayes_taxonomy_v2,catalogue_of_life,assistant_curated_candidate_bank_v3_2026_03_19|auto_clade_profile_v2|hierarchical_bayes_taxonomy_v2,auto_clade_profile_v2|fish_delay_discounting_review_2020|https://en.wikipedia.org/wiki/Anguilla_rostrata | https://en.wikipedia.org/w/index.php?search=Anguilla%20rostrata|teleost_risk_behavior_meta_2022,Fish clade profile: risk-choice and reciprocal exchange proxies prioritized.,e9915fa61ac787a08898e03a0a37afb40de2356e50b18f6414af7101bc8b3a89,f73c4716efa0c9f44ae168fe9f7b78699df88f4a36c05d62a494de370c646016,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022,2026-03-19T19:37:14Z
species,sp_0312f80a41,Anopheles gambiae,African malaria mosquito,Insecta,Culicidae,false,0.956,ai_estimated,hierarchical_bayes_taxonomy_v2,catalogue_of_life,assistant_curated_candidate_bank_v2|auto_clade_profile_v2|hierarchical_bayes_taxonomy_v2,auto_clade_profile_v2|https://en.wikipedia.org/wiki/Anopheles_gambiae | https://animaldiversity.org/search/?q=Anopheles+gambiae|insect_collective_action_meta_2020|insect_foraging_risk_2017,Insect clade profile: collective action and foraging-risk paradigms prioritized.,5143de5157d1416ddd31d9eb0c9edfa6f89e8618499f71202f6cad8cc27534cb,84c44229c4da6f9b0ec74baffd3369b33477aeca42babc846335b8fbab6ceebb,true,insect_collective_action_meta_2020|insect_foraging_risk_2017,2026-03-19T19:37:14Z
species,sp_2bdc2ee22a,Anser anser,Greylag goose,Aves,Anatidae,false,0.956,ai_estimated,hierarchical_bayes_taxonomy_v2,catalogue_of_life,assistant_curated_candidate_bank_v3_2026_03_19|auto_clade_profile_v2|hierarchical_bayes_taxonomy_v2,auto_clade_profile_v2|avian_cooperation_synthesis_2018|avian_risk_choice_review_2021|https://en.wikipedia.org/wiki/Anser_anser | https://en.wikipedia.org/w/index.php?search=Anser%20anser,Avian clade profile: cooperation and uncertainty-sensitive foraging paradigms prioritized.,a32f67bfc2ddfdb93b94d7a2c7407651725a2bf270ab61d20daf76e92dac2001,61984e4afea9d4acd21e9cc7d06689e86b5ab33a1ce1bbacc5b0f2312c047098,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021,2026-03-19T19:37:14Z
species,sp_8970c499b1,Antheraea polyphemus,Polyphemus moth,Insecta,Saturniidae,false,0.956,ai_estimated,hierarchical_bayes_taxonomy_v2,catalogue_of_life,assistant_curated_candidate_bank_v3_2026_03_19|auto_clade_profile_v2|hierarchical_bayes_taxonomy_v2,auto_clade_profile_v2|https://en.wikipedia.org/wiki/Antheraea_polyphemus | https://en.wikipedia.org/w/index.php?search=Antheraea%20polyphemus|insect_collective_action_meta_2020|insect_foraging_risk_2017,Insect clade profile: collective action and foraging-risk paradigms prioritized.,ab64e80ee3d96b2db342e28ac9a1c2471c91809fe98bd34da7ed590442ec146f,0f32032d12222524932bd3e043c38d0dec693a8dfdc4b51eec4c6b4320757ced,true,insect_collective_action_meta_2020|insect_foraging_risk_2017,2026-03-19T19:37:14Z
species,sp_4ebb822588,Antilocapra americana,Pronghorn,Mammalia,Antilocapridae,false,0.956,ai_estimated,hierarchical_bayes_taxonomy_v2,catalogue_of_life,assistant_curated_candidate_bank_v3_2026_03_19|auto_clade_profile_v2|hierarchical_bayes_taxonomy_v2,auto_clade_profile_v2|https://en.wikipedia.org/wiki/Antilocapra_americana | https://en.wikipedia.org/w/index.php?search=Antilocapra%20americana|mammal_cooperation_meta_2021|mammal_fairness_review_2019,Mammal clade profile: social exchange and fairness paradigms prioritized.,f200ffd087160891d512a270b924095dbc088b9fe6b370c2f4ace4d627444799,2a0a8420f542244f3d2d20707ba4ce7ed158e6fe80242522a9728e1c5781bdc9,true,mammal_cooperation_meta_2021|mammal_fairness_review_2019,2026-03-19T19:37:14Z
species,sp_2e3d174992,Apis cerana,Asian honey bee,Insecta,Apidae,false,0.956,ai_estimated,hierarchical_bayes_taxonomy_v2,catalogue_of_life,assistant_curated_candidate_bank_v3_2026_03_19|auto_clade_profile_v2|hierarchical_bayes_taxonomy_v2,auto_clade_profile_v2|https://en.wikipedia.org/wiki/Apis_cerana | https://en.wikipedia.org/w/index.php?search=Apis%20cerana|hymenoptera_conflict_resolution_2018|insect_collective_action_meta_2020|insect_foraging_risk_2017,Insect clade profile: collective action and foraging-risk paradigms prioritized.,2f438d8242f2136d4acfe1e0c2a15cea78b12c74d6c55c4878a1ae6eac75731f,346845599d26bb1e21d8f77333caa42ead2ce386b0d4539d2afd13e39569a3e4,true,hymenoptera_conflict_resolution_2018|insect_collective_action_meta_2020|insect_foraging_risk_2017,2026-03-19T19:37:14Z
species,sp_023560aeb2,Apis mellifera,Western honey bee,Insecta,Apidae,true,0.956,ai_estimated,hierarchical_bayes_taxonomy_v2,catalogue_of_life,auto_clade_profile_v2|hierarchical_bayes_taxonomy_v2|seed_species,auto_clade_profile_v2|hymenoptera_conflict_resolution_2018|insect_collective_action_meta_2020|insect_foraging_risk_2017|seed_species_curation,Insect clade profile: collective action and foraging-risk paradigms prioritized.,d54ef4f80a8da2d0d321d732dd4875c4a59984868da2ca797f26f6e2c2f3bebd,871f41dad38d16a786df64919f8cae4edb10cd41c516a2381871c5ccd57e85c0,true,hymenoptera_conflict_resolution_2018|insect_collective_action_meta_2020|insect_foraging_risk_2017,2026-03-19T19:37:14Z
species,sp_91478962ad,Aptenodytes forsteri,Emperor penguin,Aves,Spheniscidae,false,0.956,ai_estimated,hierarchical_bayes_taxonomy_v2,catalogue_of_life,assistant_curated_candidate_bank_v2|auto_clade_profile_v2|hierarchical_bayes_taxonomy_v2,auto_clade_profile_v2|avian_cooperation_synthesis_2018|avian_risk_choice_review_2021|https://en.wikipedia.org/wiki/Aptenodytes_forsteri | https://animaldiversity.org/search/?q=Aptenodytes+forsteri,Avian clade profile: cooperation and uncertainty-sensitive foraging paradigms prioritized.,17581a18b96f1d75e14e934f93be6e6e47f2023d3f65e2776aafa5292637bbd4,58c426ce33fe7ede140a16e2c1067ef78ba37ba2b304a089c000429ed62add0f,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021,2026-03-19T19:37:14Z
species,sp_fd2f1301a6,Aptenodytes patagonicus,King penguin,Aves,Spheniscidae,false,0.956,ai_estimated,hierarchical_bayes_taxonomy_v2,catalogue_of_life,assistant_curated_candidate_bank_v3_2026_03_19|auto_clade_profile_v2|hierarchical_bayes_taxonomy_v2,auto_clade_profile_v2|avian_cooperation_synthesis_2018|avian_risk_choice_review_2021|https://en.wikipedia.org/wiki/Aptenodytes_patagonicus | https://en.wikipedia.org/w/index.php?search=Aptenodytes%20patagonicus,Avian clade profile: cooperation and uncertainty-sensitive foraging paradigms prioritized.,73a3ece5f8c3a22166dd115f4f395f66fd57d7cd3066beb89c8a4ab802d9b90d,32ea15c11de7515e456a9d2311d611f9135201d2f6c7c80bfd4240e201c02ba9,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021,2026-03-19T19:37:14Z
