species,common_name,kingdom,phylum,class,order,family,genus,is_seed,candidate_source,candidate_confidence_score,inherited_from_rank,inherited_from_taxon,risk_preference,temporal_discount_rate,effort_price_elasticity,cooperation_propensity,inequity_sensitivity,punishment_propensity,tokenization_capacity,risk_preference_lower,temporal_discount_rate_lower,effort_price_elasticity_lower,cooperation_propensity_lower,inequity_sensitivity_lower,punishment_propensity_lower,tokenization_capacity_lower,risk_preference_upper,temporal_discount_rate_upper,effort_price_elasticity_upper,cooperation_propensity_upper,inequity_sensitivity_upper,punishment_propensity_upper,tokenization_capacity_upper,uncertainty_sd,provenance_type,source_model,calibration_applied,calibration_refs
Corvus corax,Common raven,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,true,seed_species,0.879,family,Corvidae,0.991944,0.489183,-0.761747,0.655058,0.665134,0.577364,0.760292,0.73254,0.229779,-1.021151,0.395654,0.40573,0.31796,0.500888,1.251348,0.748587,-0.502343,0.914462,0.924538,0.836768,1.0,0.132349,inherited_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021|corvid_token_tasks_2019
Corvus moneduloides,New Caledonian crow,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,true,seed_species,0.879,family,Corvidae,0.991944,0.489183,-0.761747,0.655058,0.665134,0.577364,0.760292,0.73254,0.229779,-1.021151,0.395654,0.40573,0.31796,0.500888,1.251348,0.748587,-0.502343,0.914462,0.924538,0.836768,1.0,0.132349,inherited_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021|corvid_token_tasks_2019
Danaus plexippus,Monarch butterfly,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Danaus,false,curated_candidate_bank_v1,0.879,family,Nymphalidae,1.055726,0.778476,-1.00127,0.520233,0.611132,0.540957,0.534235,0.686981,0.409731,-1.370015,0.151488,0.242387,0.172212,0.16549,1.424471,1.147221,-0.632525,0.888978,0.979877,0.909702,0.90298,0.188135,inherited_taxonomy,taxon_aggregate_v1,true,insect_collective_action_meta_2020|insect_foraging_risk_2017
Danio rerio,Zebrafish,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Danio,true,seed_species,0.956,family,Cyprinidae,1.038224,0.652178,-1.148289,0.521048,0.577811,0.485194,0.446166,0.753477,0.367431,-1.433036,0.236301,0.293064,0.200447,0.161419,1.322971,0.936925,-0.863542,0.805795,0.862558,0.769941,0.730913,0.145279,inherited_taxonomy,taxon_aggregate_v1,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
Delphinus delphis,Common dolphin,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Delphinus,false,curated_candidate_bank_v1,0.956,family,Delphinidae,0.91301,0.457124,-0.883339,0.691651,0.681564,0.604728,0.760804,0.577121,0.121235,-1.219228,0.355762,0.345675,0.268839,0.424915,1.248899,0.793013,-0.54745,1.0,1.0,0.940617,1.0,0.171372,inherited_taxonomy,taxon_aggregate_v1,true,mammal_cooperation_meta_2021|mammal_fairness_review_2019
Drosophila melanogaster,Fruit fly,Animalia,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,true,seed_species,0.956,family,Drosophilidae,1.097283,0.838509,-1.083125,0.484635,0.583054,0.520536,0.511981,0.752037,0.493263,-1.428371,0.139389,0.237808,0.17529,0.166735,1.442529,1.183755,-0.737879,0.829881,0.9283,0.865782,0.857227,0.176146,inherited_taxonomy,taxon_aggregate_v1,true,insect_collective_action_meta_2020|insect_foraging_risk_2017
Elephas maximus,Asian elephant,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Elephas,false,curated_candidate_bank_v1,0.956,family,Elephantidae,0.910259,0.466302,-0.689931,0.67818,0.675931,0.605046,0.759292,0.564885,0.120928,-1.035305,0.332806,0.330557,0.259672,0.413918,1.255633,0.811676,-0.344557,1.0,1.0,0.95042,1.0,0.176211,inherited_taxonomy,taxon_aggregate_v1,true,mammal_cooperation_meta_2021|mammal_fairness_review_2019
Gadus morhua,Atlantic cod,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,false,curated_candidate_bank_v1,0.879,family,Gadidae,1.029496,0.625282,-1.296954,0.519531,0.582332,0.487844,0.447005,0.655058,0.250844,-1.671392,0.145093,0.207894,0.113406,0.072567,1.403934,0.99972,-0.922516,0.893969,0.95677,0.862282,0.821443,0.19104,inherited_taxonomy,taxon_aggregate_v1,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
Gallus gallus,Red junglefowl,Animalia,Chordata,Aves,Galliformes,Phasianidae,Gallus,false,curated_candidate_bank_v1,0.879,family,Phasianidae,0.99282,0.490048,-0.970761,0.631106,0.650634,0.564757,0.741428,0.62943,0.126658,-1.334151,0.267716,0.287244,0.201367,0.378038,1.35621,0.853438,-0.607371,0.994496,1.0,0.928147,1.0,0.185403,inherited_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021
Gasterosteus aculeatus,Three-spined stickleback,Animalia,Chordata,Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,true,seed_species,0.879,family,Gasterosteidae,1.026644,0.656311,-1.077973,0.531669,0.585242,0.491726,0.453635,0.659661,0.289328,-1.444956,0.164686,0.218259,0.124743,0.086652,1.393627,1.023294,-0.71099,0.898652,0.952225,0.858709,0.820618,0.187236,inherited_taxonomy,taxon_aggregate_v1,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
Larus argentatus,Herring gull,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,false,curated_candidate_bank_v1,0.879,family,Laridae,1.001508,0.491284,-1.078766,0.623157,0.64469,0.560195,0.739341,0.634284,0.12406,-1.44599,0.255933,0.277466,0.192971,0.372117,1.368732,0.858508,-0.711542,0.990381,1.0,0.927419,1.0,0.187359,inherited_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021
Locusta migratoria,Migratory locust,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Locusta,false,curated_candidate_bank_v1,0.879,family,Acrididae,1.033545,0.768088,-0.795295,0.549334,0.62377,0.554477,0.549417,0.670624,0.405167,-1.158216,0.186413,0.260849,0.191556,0.186496,1.396466,1.131009,-0.432374,0.912255,0.986691,0.917398,0.912338,0.185164,inherited_taxonomy,taxon_aggregate_v1,true,insect_collective_action_meta_2020|insect_foraging_risk_2017
Macaca mulatta,Rhesus macaque,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,true,seed_species,0.956,family,Cercopithecidae,0.930021,0.476833,-0.704852,0.682398,0.676487,0.60113,0.780589,0.575467,0.122279,-1.059406,0.327844,0.321933,0.246576,0.426035,1.284575,0.831387,-0.350298,1.0,1.0,0.955684,1.0,0.180895,inherited_taxonomy,taxon_aggregate_v1,true,mammal_cooperation_meta_2021|mammal_fairness_review_2019|primate_token_exchange_2022
Manduca sexta,Tobacco hornworm moth,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Manduca,false,curated_candidate_bank_v1,0.879,family,Sphingidae,1.059004,0.825883,-1.076635,0.514676,0.607098,0.539691,0.533303,0.689048,0.455927,-1.446591,0.14472,0.237142,0.169735,0.163347,1.42896,1.195839,-0.706679,0.884632,0.977054,0.909647,0.903259,0.188753,inherited_taxonomy,taxon_aggregate_v1,true,insect_collective_action_meta_2020|insect_foraging_risk_2017
Mus musculus,House mouse,Animalia,Chordata,Mammalia,Rodentia,Muridae,Mus,true,seed_species,0.956,family,Muridae,0.978083,0.628477,-1.190446,0.647995,0.641765,0.571233,0.750828,0.701537,0.351931,-1.466992,0.371449,0.365219,0.294687,0.474282,1.254629,0.905023,-0.9139,0.924541,0.918311,0.847779,1.0,0.141095,inherited_taxonomy,taxon_aggregate_v1,true,mammal_cooperation_meta_2021|mammal_fairness_review_2019
Nestor notabilis,Kea,Animalia,Chordata,Aves,Psittaciformes,Strigopidae,Nestor,true,seed_species,0.879,family,Strigopidae,0.987747,0.488644,-0.801579,0.639949,0.655529,0.572127,0.743821,0.627911,0.128808,-1.161415,0.280113,0.295693,0.212291,0.383985,1.347583,0.84848,-0.441743,0.999785,1.0,0.931963,1.0,0.18359,inherited_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021
Octopus vulgaris,Common octopus,Animalia,Mollusca,Cephalopoda,Octopoda,Octopodidae,Octopus,true,seed_species,0.879,family,Octopodidae,1.062664,0.602834,-1.347891,0.523238,0.595466,0.508326,0.613755,0.680793,0.220963,-1.729762,0.141367,0.213595,0.126455,0.231884,1.444535,0.984705,-0.96602,0.905109,0.977337,0.890197,0.995626,0.194832,inherited_taxonomy,taxon_aggregate_v1,false,
Odocoileus virginianus,White-tailed deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,false,curated_candidate_bank_v1,0.879,family,Cervidae,0.944753,0.492379,-0.971587,0.665737,0.667651,0.586891,0.751749,0.580401,0.128027,-1.335939,0.301385,0.303299,0.222539,0.387397,1.309105,0.856731,-0.607235,1.0,1.0,0.951243,1.0,0.185894,inherited_taxonomy,taxon_aggregate_v1,true,mammal_cooperation_meta_2021|mammal_fairness_review_2019
Oncorhynchus mykiss,Rainbow trout,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,false,curated_candidate_bank_v1,0.956,family,Salmonidae,1.037799,0.584185,-1.305082,0.504982,0.577898,0.477931,0.43788,0.760735,0.307121,-1.582146,0.227918,0.300834,0.200867,0.160816,1.314863,0.861249,-1.028018,0.782046,0.854962,0.754995,0.714944,0.141359,inherited_taxonomy,taxon_aggregate_v1,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
Oreochromis niloticus,Nile tilapia,Animalia,Chordata,Actinopterygii,Cichliformes,Cichlidae,Oreochromis,false,curated_candidate_bank_v1,0.879,family,Cichlidae,1.01948,0.629535,-1.115472,0.537245,0.58917,0.493996,0.453634,0.645996,0.256051,-1.488956,0.163761,0.215686,0.120512,0.08015,1.392964,1.003019,-0.741988,0.910729,0.962654,0.86748,0.827118,0.190553,inherited_taxonomy,taxon_aggregate_v1,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
Pan troglodytes,Chimpanzee,Animalia,Chordata,Mammalia,Primates,Hominidae,Pan,true,seed_species,0.956,family,Hominidae,0.910928,0.452092,-0.620329,0.681234,0.682559,0.633614,0.781957,0.619492,0.160656,-0.911765,0.389798,0.391123,0.342178,0.490521,1.202364,0.743528,-0.328893,0.97267,0.973995,0.92505,1.0,0.148692,inherited_taxonomy,taxon_aggregate_v1,true,hominid_punishment_games_2020|mammal_cooperation_meta_2021|mammal_fairness_review_2019|primate_token_exchange_2022
Phoca vitulina,Harbor seal,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Phoca,false,curated_candidate_bank_v1,0.879,family,Phocidae,0.945494,0.482553,-1.094523,0.663779,0.664386,0.585173,0.754181,0.585577,0.122636,-1.45444,0.303862,0.304469,0.225256,0.394264,1.305411,0.84247,-0.734606,1.0,1.0,0.94509,1.0,0.183631,inherited_taxonomy,taxon_aggregate_v1,true,mammal_cooperation_meta_2021|mammal_fairness_review_2019
Pica pica,Eurasian magpie,Animalia,Chordata,Aves,Passeriformes,Corvidae,Pica,false,curated_candidate_bank_v1,0.956,family,Corvidae,0.991944,0.489183,-0.761747,0.655058,0.665134,0.577364,0.760292,0.73254,0.229779,-1.021151,0.395654,0.40573,0.31796,0.500888,1.251348,0.748587,-0.502343,0.914462,0.924538,0.836768,1.0,0.132349,inherited_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021|corvid_token_tasks_2019
Poecilia reticulata,Guppy,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,true,seed_species,0.956,family,Poeciliidae,1.037633,0.697459,-1.031493,0.534552,0.578812,0.487544,0.452658,0.76182,0.421646,-1.307306,0.258739,0.302999,0.211731,0.176845,1.313446,0.973272,-0.75568,0.810365,0.854625,0.763357,0.728471,0.140721,inherited_taxonomy,taxon_aggregate_v1,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
Procambarus clarkii,Red swamp crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Cambaridae,Procambarus,true,seed_species,0.879,family,Cambaridae,1.046395,0.707102,-1.17521,0.547229,0.603683,0.516588,0.540538,0.6567,0.317407,-1.564905,0.157534,0.213988,0.126893,0.150843,1.43609,1.096797,-0.785515,0.936924,0.993378,0.906283,0.930233,0.198824,inherited_taxonomy,taxon_aggregate_v1,false,
Psittacus erithacus,African grey parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Psittacus,false,curated_candidate_bank_v1,0.956,family,Psittacidae,0.971866,0.491057,-0.705655,0.652685,0.664565,0.579002,0.748386,0.633527,0.152718,-1.043994,0.314346,0.326226,0.240663,0.410047,1.310205,0.829396,-0.367316,0.991024,1.0,0.917341,1.0,0.172622,inherited_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021
Rattus norvegicus,Norway rat,Animalia,Chordata,Mammalia,Rodentia,Muridae,Rattus,true,seed_species,0.956,family,Muridae,0.978083,0.628477,-1.190446,0.647995,0.641765,0.571233,0.750828,0.701537,0.351931,-1.466992,0.371449,0.365219,0.294687,0.474282,1.254629,0.905023,-0.9139,0.924541,0.918311,0.847779,1.0,0.141095,inherited_taxonomy,taxon_aggregate_v1,true,mammal_cooperation_meta_2021|mammal_fairness_review_2019
Salmo salar,Atlantic salmon,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salmo,false,curated_candidate_bank_v1,0.956,family,Salmonidae,1.037799,0.584185,-1.305082,0.504982,0.577898,0.477931,0.43788,0.760735,0.307121,-1.582146,0.227918,0.300834,0.200867,0.160816,1.314863,0.861249,-1.028018,0.782046,0.854962,0.754995,0.714944,0.141359,inherited_taxonomy,taxon_aggregate_v1,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
Sapajus apella,Tufted capuchin,Animalia,Chordata,Mammalia,Primates,Cebidae,Sapajus,true,seed_species,0.879,family,Cebidae,0.940398,0.487572,-0.75362,0.677919,0.672359,0.596037,0.778485,0.572647,0.119821,-1.121371,0.310168,0.304608,0.228286,0.410734,1.308149,0.855323,-0.385869,1.0,1.0,0.963788,1.0,0.187628,inherited_taxonomy,taxon_aggregate_v1,true,mammal_cooperation_meta_2021|mammal_fairness_review_2019|primate_token_exchange_2022
Sepia officinalis,Common cuttlefish,Animalia,Mollusca,Cephalopoda,Sepiida,Sepiidae,Sepia,true,seed_species,0.879,family,Sepiidae,1.058762,0.588009,-1.302879,0.527624,0.598216,0.511524,0.615383,0.671168,0.200415,-1.690473,0.14003,0.210622,0.12393,0.227789,1.446356,0.975603,-0.915285,0.915218,0.98581,0.899118,1.0,0.197752,inherited_taxonomy,taxon_aggregate_v1,false,
Solenopsis invicta,Red imported fire ant,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Solenopsis,false,curated_candidate_bank_v1,0.956,family,Formicidae,1.000616,0.850182,-0.444151,0.568876,0.644636,0.542104,0.57271,0.741359,0.590925,-0.703408,0.309619,0.385379,0.282847,0.313453,1.259873,1.109439,-0.184894,0.828133,0.903893,0.801361,0.831967,0.132274,inherited_taxonomy,taxon_aggregate_v1,true,hymenoptera_conflict_resolution_2018|insect_collective_action_meta_2020|insect_foraging_risk_2017
Struthio camelus,Ostrich,Animalia,Chordata,Aves,Struthioniformes,Struthionidae,Struthio,false,curated_candidate_bank_v1,0.879,family,Struthionidae,0.996262,0.477472,-1.115723,0.621112,0.647179,0.559524,0.738079,0.634127,0.115337,-1.477858,0.258977,0.285044,0.197389,0.375944,1.358397,0.839607,-0.753588,0.983247,1.0,0.921659,1.0,0.184763,inherited_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021
Sus scrofa,Wild boar,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Sus,false,curated_candidate_bank_v1,0.879,family,Suidae,0.946569,0.492082,-0.887524,0.672671,0.671069,0.591015,0.754338,0.582611,0.128124,-1.251482,0.308713,0.307111,0.227057,0.39038,1.310527,0.85604,-0.523566,1.0,1.0,0.954973,1.0,0.185693,inherited_taxonomy,taxon_aggregate_v1,true,mammal_cooperation_meta_2021|mammal_fairness_review_2019
Xiphophorus maculatus,Southern platyfish,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Xiphophorus,false,curated_candidate_bank_v1,0.956,family,Poeciliidae,1.037633,0.697459,-1.031493,0.534552,0.578812,0.487544,0.452658,0.76182,0.421646,-1.307306,0.258739,0.302999,0.211731,0.176845,1.313446,0.973272,-0.75568,0.810365,0.854625,0.763357,0.728471,0.140721,inherited_taxonomy,taxon_aggregate_v1,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
