species,common_name,kingdom,phylum,class,order,family,genus,is_seed,candidate_source,candidate_confidence_score,inherited_from_rank,inherited_from_taxon,risk_preference,temporal_discount_rate,effort_price_elasticity,cooperation_propensity,inequity_sensitivity,punishment_propensity,tokenization_capacity,risk_preference_lower,temporal_discount_rate_lower,effort_price_elasticity_lower,cooperation_propensity_lower,inequity_sensitivity_lower,punishment_propensity_lower,tokenization_capacity_lower,risk_preference_upper,temporal_discount_rate_upper,effort_price_elasticity_upper,cooperation_propensity_upper,inequity_sensitivity_upper,punishment_propensity_upper,tokenization_capacity_upper,uncertainty_sd,provenance_type,source_model,calibration_applied,calibration_refs
Blattella germanica,German cockroach,Animalia,Arthropoda,Insecta,Blattodea,Ectobiidae,Blattella,false,curated_candidate_bank_v1,0.879,family,Ectobiidae,1.237388,0.993468,-1.216296,0.421663,0.458689,0.418518,0.421664,0.972472,0.728552,-1.481212,0.156747,0.193773,0.153602,0.156748,1.502304,1.258384,-0.95138,0.686579,0.723605,0.683434,0.68658,0.135161,inherited_taxonomy,taxon_aggregate_v1,true,insect_collective_action_meta_2020|insect_foraging_risk_2017
Bombus terrestris,Buff-tailed bumblebee,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,true,seed_species,0.879,family,Apidae,0.924264,0.754577,-0.519019,0.794444,0.703005,0.586991,0.608571,0.653966,0.484279,-0.789317,0.524146,0.432707,0.316693,0.338273,1.194562,1.024875,-0.248721,1.0,0.973303,0.857289,0.878869,0.137907,inherited_taxonomy,taxon_aggregate_v1,true,hymenoptera_conflict_resolution_2018|insect_collective_action_meta_2020|insect_foraging_risk_2017
Bombyx mori,Domestic silkmoth,Animalia,Arthropoda,Insecta,Lepidoptera,Bombycidae,Bombyx,false,assistant_curated_candidate_bank_v2,0.956,family,Bombycidae,1.111664,0.88943,-0.926072,0.34876,0.439988,0.356264,0.328357,0.82785,0.605616,-1.209886,0.064946,0.156174,0.07245,0.044543,1.395478,1.173244,-0.642258,0.632574,0.723802,0.640078,0.612171,0.144803,inherited_taxonomy,taxon_aggregate_v1,true,insect_collective_action_meta_2020|insect_foraging_risk_2017
Bubo virginianus,Great horned owl,Animalia,Chordata,Aves,Strigiformes,Strigidae,Bubo,false,assistant_curated_candidate_bank_v2,0.879,family,Strigidae,1.0428,0.679623,-1.259846,0.365825,0.551693,0.388058,0.584315,0.777522,0.414345,-1.525124,0.100547,0.286415,0.12278,0.319037,1.308078,0.944901,-0.994568,0.631103,0.816971,0.653336,0.849593,0.135346,inherited_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021
Camponotus pennsylvanicus,Carpenter ant,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,false,curated_candidate_bank_v1,0.956,family,Formicidae,0.896874,0.867832,-0.354791,0.862672,0.759023,0.642692,0.657938,0.682013,0.652971,-0.569652,0.647811,0.544162,0.427831,0.443077,1.111735,1.082693,-0.13993,1.0,0.973884,0.857553,0.872799,0.109623,inherited_taxonomy,taxon_aggregate_v1,true,hymenoptera_conflict_resolution_2018|insect_collective_action_meta_2020|insect_foraging_risk_2017
Canis lupus,Gray wolf,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,false,curated_candidate_bank_v1,0.956,family,Canidae,1.018865,0.542396,-0.972891,0.632093,0.687535,0.557269,0.748379,0.763665,0.287196,-1.228091,0.376893,0.432335,0.302069,0.493179,1.274065,0.797596,-0.717691,0.887293,0.942735,0.812469,1.0,0.130204,inherited_taxonomy,taxon_aggregate_v1,true,mammal_cooperation_meta_2021|mammal_fairness_review_2019
Carassius auratus,Goldfish,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,false,curated_candidate_bank_v1,0.879,family,Cyprinidae,1.061074,0.607956,-1.159763,0.45675,0.502418,0.40747,0.390999,0.836787,0.383669,-1.38405,0.232463,0.278131,0.183183,0.166712,1.285361,0.832243,-0.935476,0.681037,0.726705,0.631757,0.615286,0.114432,inherited_taxonomy,taxon_aggregate_v1,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
Castor canadensis,North American beaver,Animalia,Chordata,Mammalia,Rodentia,Castoridae,Castor,false,assistant_curated_candidate_bank_v2,0.956,family,Castoridae,0.851057,0.558057,-0.94992,0.740433,0.71393,0.61497,0.818537,0.523998,0.230998,-1.276979,0.413374,0.386871,0.287911,0.491478,1.178116,0.885116,-0.622861,1.0,1.0,0.942029,1.0,0.166867,inherited_taxonomy,taxon_aggregate_v1,true,mammal_cooperation_meta_2021|mammal_fairness_review_2019
Clupea harengus,Atlantic herring,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,false,assistant_curated_candidate_bank_v2,0.879,family,Clupeidae,0.778915,0.591678,-0.766119,0.829294,0.716862,0.642593,0.622002,0.521951,0.334714,-1.023083,0.57233,0.459898,0.385629,0.365038,1.035879,0.848642,-0.509155,1.0,0.973826,0.899557,0.878966,0.131104,inherited_taxonomy,taxon_aggregate_v1,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
Coccinella septempunctata,Seven-spotted lady beetle,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinella,false,assistant_curated_candidate_bank_v2,0.879,family,Coccinellidae,1.050937,0.759047,-0.916133,0.371548,0.484785,0.407168,0.386284,0.666644,0.374754,-1.300426,0.0,0.100492,0.022875,0.001991,1.43523,1.14334,-0.53184,0.755841,0.869078,0.791461,0.770577,0.196068,inherited_taxonomy,taxon_aggregate_v1,true,insect_collective_action_meta_2020|insect_foraging_risk_2017
Columba livia,Rock pigeon,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,true,seed_species,0.956,family,Columbidae,1.037101,0.484632,-1.165753,0.610484,0.601252,0.535619,0.770037,0.740034,0.187565,-1.46282,0.313417,0.304185,0.238552,0.47297,1.334168,0.781699,-0.868686,0.907551,0.898319,0.832686,1.0,0.151565,inherited_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021
Corvus corax,Common raven,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,true,seed_species,0.879,family,Corvidae,1.008294,0.491251,-0.759276,0.701242,0.710993,0.593474,0.789583,0.784811,0.267768,-0.982759,0.477759,0.48751,0.369991,0.5661,1.231777,0.714734,-0.535793,0.924725,0.934476,0.816957,1.0,0.114022,inherited_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021|corvid_token_tasks_2019
Corvus moneduloides,New Caledonian crow,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,true,seed_species,0.879,family,Corvidae,1.008294,0.491251,-0.759276,0.701242,0.710993,0.593474,0.789583,0.784811,0.267768,-0.982759,0.477759,0.48751,0.369991,0.5661,1.231777,0.714734,-0.535793,0.924725,0.934476,0.816957,1.0,0.114022,inherited_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021|corvid_token_tasks_2019
Cyanocitta cristata,Blue jay,Animalia,Chordata,Aves,Passeriformes,Corvidae,Cyanocitta,false,assistant_curated_candidate_bank_v2,0.879,family,Corvidae,1.008294,0.491251,-0.759276,0.701242,0.710993,0.593474,0.789583,0.784811,0.267768,-0.982759,0.477759,0.48751,0.369991,0.5661,1.231777,0.714734,-0.535793,0.924725,0.934476,0.816957,1.0,0.114022,inherited_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021|corvid_token_tasks_2019
Cyprinus carpio,Common carp,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinus,false,assistant_curated_candidate_bank_v2,0.956,family,Cyprinidae,1.061074,0.607956,-1.159763,0.45675,0.502418,0.40747,0.390999,0.836787,0.383669,-1.38405,0.232463,0.278131,0.183183,0.166712,1.285361,0.832243,-0.935476,0.681037,0.726705,0.631757,0.615286,0.114432,inherited_taxonomy,taxon_aggregate_v1,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
Danaus plexippus,Monarch butterfly,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Danaus,false,curated_candidate_bank_v1,0.879,family,Nymphalidae,0.988338,0.690383,-0.881481,0.376709,0.490045,0.398911,0.368871,0.702417,0.404462,-1.167402,0.090788,0.204124,0.11299,0.08295,1.274259,0.976304,-0.59556,0.66263,0.775966,0.684832,0.654792,0.145878,inherited_taxonomy,taxon_aggregate_v1,true,insect_collective_action_meta_2020|insect_foraging_risk_2017
Danio rerio,Zebrafish,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Danio,true,seed_species,0.956,family,Cyprinidae,1.061074,0.607956,-1.159763,0.45675,0.502418,0.40747,0.390999,0.836787,0.383669,-1.38405,0.232463,0.278131,0.183183,0.166712,1.285361,0.832243,-0.935476,0.681037,0.726705,0.631757,0.615286,0.114432,inherited_taxonomy,taxon_aggregate_v1,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
Delphinus delphis,Common dolphin,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Delphinus,false,curated_candidate_bank_v1,0.956,family,Delphinidae,0.829652,0.318558,-0.881738,0.837866,0.761652,0.678146,0.88471,0.590169,0.079075,-1.121221,0.598383,0.522169,0.438663,0.645227,1.069135,0.558041,-0.642255,1.0,1.0,0.917629,1.0,0.122185,inherited_taxonomy,taxon_aggregate_v1,true,mammal_cooperation_meta_2021|mammal_fairness_review_2019
Diomedea exulans,Wandering albatross,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Diomedea,false,assistant_curated_candidate_bank_v2,0.879,family,Diomedeidae,0.974046,0.463758,-1.008192,0.642473,0.664657,0.56027,0.772989,0.491169,0.0,-1.491069,0.159596,0.18178,0.077393,0.290112,1.456923,0.946635,-0.525315,1.0,1.0,1.0,1.0,0.246366,inherited_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021
Drosophila melanogaster,Fruit fly,Animalia,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,true,seed_species,0.956,family,Drosophilidae,1.288502,0.882599,-1.124132,0.309872,0.434973,0.350028,0.334353,0.990127,0.584224,-1.422507,0.011497,0.136598,0.051653,0.035978,1.586877,1.180974,-0.825757,0.608247,0.733348,0.648403,0.632728,0.152232,inherited_taxonomy,taxon_aggregate_v1,true,insect_collective_action_meta_2020|insect_foraging_risk_2017
Electrophorus electricus,Electric eel,Animalia,Chordata,Actinopterygii,Gymnotiformes,Gymnotidae,Electrophorus,false,assistant_curated_candidate_bank_v2,0.956,family,Gymnotidae,1.141461,0.711968,-1.551449,0.297263,0.466688,0.32706,0.294545,0.885948,0.456455,-1.806962,0.04175,0.211175,0.071547,0.039032,1.396974,0.967481,-1.295936,0.552776,0.722201,0.582573,0.550058,0.130364,inherited_taxonomy,taxon_aggregate_v1,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
Elephas maximus,Asian elephant,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Elephas,false,curated_candidate_bank_v1,0.956,family,Elephantidae,0.789974,0.30707,-0.716031,0.865944,0.818291,0.699723,0.886941,0.549823,0.066919,-0.956182,0.625793,0.57814,0.459572,0.64679,1.030125,0.547221,-0.47588,1.0,1.0,0.939874,1.0,0.122526,inherited_taxonomy,taxon_aggregate_v1,true,mammal_cooperation_meta_2021|mammal_fairness_review_2019
Esox lucius,Northern pike,Animalia,Chordata,Actinopterygii,Esociformes,Esocidae,Esox,false,assistant_curated_candidate_bank_v2,0.879,family,Esocidae,0.995729,0.59127,-1.180158,0.442734,0.525225,0.425337,0.404876,0.54763,0.143171,-1.628257,0.0,0.077126,0.0,0.0,1.443828,1.039369,-0.732059,0.890833,0.973324,0.873436,0.852975,0.228622,inherited_taxonomy,taxon_aggregate_v1,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
Eudyptes chrysocome,Southern rockhopper penguin,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,false,assistant_curated_candidate_bank_v2,0.879,family,Spheniscidae,0.829727,0.380778,-0.899567,0.789762,0.737636,0.650892,0.866796,0.602006,0.153057,-1.127288,0.562041,0.509915,0.423171,0.639075,1.057448,0.608499,-0.671846,1.0,0.965357,0.878613,1.0,0.116184,inherited_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021
Falco peregrinus,Peregrine falcon,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,false,assistant_curated_candidate_bank_v2,0.956,family,Falconidae,0.977169,0.457822,-0.991303,0.585508,0.645312,0.538405,0.746136,0.511789,0.0,-1.456683,0.120128,0.179932,0.073025,0.280756,1.442549,0.923202,-0.525923,1.0,1.0,1.0,1.0,0.237439,inherited_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021
Formica rufa,Red wood ant,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Formica,false,assistant_curated_candidate_bank_v2,0.956,family,Formicidae,0.896874,0.867832,-0.354791,0.862672,0.759023,0.642692,0.657938,0.682013,0.652971,-0.569652,0.647811,0.544162,0.427831,0.443077,1.111735,1.082693,-0.13993,1.0,0.973884,0.857553,0.872799,0.109623,inherited_taxonomy,taxon_aggregate_v1,true,hymenoptera_conflict_resolution_2018|insect_collective_action_meta_2020|insect_foraging_risk_2017
Fregata magnificens,Magnificent frigatebird,Animalia,Chordata,Aves,Suliformes,Fregatidae,Fregata,false,assistant_curated_candidate_bank_v2,0.879,family,Fregatidae,0.962046,0.447745,-1.024587,0.685889,0.662683,0.574612,0.793407,0.644836,0.130535,-1.341797,0.368679,0.345473,0.257402,0.476197,1.279256,0.764955,-0.707377,1.0,0.979893,0.891822,1.0,0.161842,inherited_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021
Gadus morhua,Atlantic cod,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,false,curated_candidate_bank_v1,0.879,family,Gadidae,1.082342,0.492233,-1.44878,0.4014,0.515018,0.400434,0.37474,0.766286,0.176177,-1.764836,0.085344,0.198962,0.084378,0.058684,1.398398,0.808289,-1.132724,0.717456,0.831074,0.71649,0.690796,0.161253,inherited_taxonomy,taxon_aggregate_v1,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
Gallus gallus,Red junglefowl,Animalia,Chordata,Aves,Galliformes,Phasianidae,Gallus,false,curated_candidate_bank_v1,0.879,family,Phasianidae,1.001304,0.435647,-1.012629,0.629679,0.663384,0.549462,0.757021,0.743513,0.177856,-1.27042,0.371888,0.405593,0.291671,0.49923,1.259095,0.693438,-0.754838,0.88747,0.921175,0.807253,1.0,0.131526,inherited_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021
Gasterosteus aculeatus,Three-spined stickleback,Animalia,Chordata,Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,true,seed_species,0.879,family,Gasterosteidae,1.061432,0.714217,-1.055507,0.534643,0.55877,0.46701,0.448149,0.806914,0.459699,-1.310025,0.280125,0.304252,0.212492,0.193631,1.31595,0.968735,-0.800989,0.789161,0.813288,0.721528,0.702667,0.129856,inherited_taxonomy,taxon_aggregate_v1,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
Gorilla gorilla,Western gorilla,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,false,assistant_curated_candidate_bank_v2,0.956,family,Hominidae,0.823222,0.324463,-0.636011,0.881767,0.838706,0.705313,0.87189,0.586391,0.087632,-0.872842,0.644936,0.601875,0.468482,0.635059,1.060053,0.561294,-0.39918,1.0,1.0,0.942144,1.0,0.120832,inherited_taxonomy,taxon_aggregate_v1,true,hominid_punishment_games_2020|mammal_cooperation_meta_2021|mammal_fairness_review_2019|primate_token_exchange_2022
Gromphadorhina portentosa,Madagascar hissing cockroach,Animalia,Arthropoda,Insecta,Blattodea,Blaberidae,Gromphadorhina,false,assistant_curated_candidate_bank_v2,0.879,family,Blaberidae,1.084017,0.859266,-0.814953,0.396142,0.456185,0.37939,0.34484,0.772651,0.5479,-1.126319,0.084776,0.144819,0.068024,0.033474,1.395383,1.170632,-0.503587,0.707508,0.767551,0.690756,0.656206,0.15886,inherited_taxonomy,taxon_aggregate_v1,true,insect_collective_action_meta_2020|insect_foraging_risk_2017
Gryllus bimaculatus,Field cricket,Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,Gryllus,false,assistant_curated_candidate_bank_v2,0.956,family,Gryllidae,1.156986,0.925859,-1.100879,0.462353,0.525559,0.452143,0.436553,0.90445,0.673323,-1.353415,0.209817,0.273023,0.199607,0.184017,1.409522,1.178395,-0.848343,0.714889,0.778095,0.704679,0.689089,0.128845,inherited_taxonomy,taxon_aggregate_v1,true,insect_collective_action_meta_2020|insect_foraging_risk_2017
Haliaeetus leucocephalus,Bald eagle,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,false,assistant_curated_candidate_bank_v2,0.956,family,Accipitridae,0.969312,0.41421,-0.994937,0.494586,0.599163,0.487439,0.681505,0.570444,0.015342,-1.393805,0.095718,0.200295,0.088571,0.282637,1.36818,0.813078,-0.596069,0.893454,0.998031,0.886307,1.0,0.203504,inherited_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021
Heliconius erato,Red postman butterfly,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Heliconius,false,assistant_curated_candidate_bank_v2,0.879,family,Nymphalidae,0.988338,0.690383,-0.881481,0.376709,0.490045,0.398911,0.368871,0.702417,0.404462,-1.167402,0.090788,0.204124,0.11299,0.08295,1.274259,0.976304,-0.59556,0.66263,0.775966,0.684832,0.654792,0.145878,inherited_taxonomy,taxon_aggregate_v1,true,insect_collective_action_meta_2020|insect_foraging_risk_2017
Heterocephalus glaber,Naked mole-rat,Animalia,Chordata,Mammalia,Rodentia,Heterocephalidae,Heterocephalus,false,assistant_curated_candidate_bank_v2,0.956,family,Heterocephalidae,0.800614,0.525912,-0.602726,0.865412,0.758078,0.676272,0.884033,0.482618,0.207916,-0.920722,0.547416,0.440082,0.358276,0.566037,1.11861,0.843908,-0.28473,1.0,1.0,0.994268,1.0,0.162243,inherited_taxonomy,taxon_aggregate_v1,true,mammal_cooperation_meta_2021|mammal_fairness_review_2019
Hippocampus kuda,Yellow seahorse,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Hippocampus,false,assistant_curated_candidate_bank_v2,0.879,family,Syngnathidae,0.938392,0.585096,-1.054715,0.43241,0.494706,0.406146,0.39122,0.551684,0.198388,-1.441423,0.045702,0.107998,0.019438,0.004512,1.3251,0.971804,-0.668007,0.819118,0.881414,0.792854,0.777928,0.1973,inherited_taxonomy,taxon_aggregate_v1,true,fish_delay_discounting_review_2020|teleost_risk_behavior_meta_2022
Hydrochoerus hydrochaeris,Capybara,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Hydrochoerus,false,assistant_curated_candidate_bank_v2,0.956,family,Caviidae,0.81414,0.444089,-0.916005,0.77582,0.733944,0.634854,0.836904,0.488874,0.118823,-1.241271,0.450554,0.408678,0.309588,0.511638,1.139406,0.769355,-0.590739,1.0,1.0,0.96012,1.0,0.165952,inherited_taxonomy,taxon_aggregate_v1,true,mammal_cooperation_meta_2021|mammal_fairness_review_2019
Larus argentatus,Herring gull,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,false,curated_candidate_bank_v1,0.879,family,Laridae,1.067154,0.458614,-1.171105,0.558169,0.6102,0.511805,0.731742,0.747962,0.139422,-1.490297,0.238977,0.291008,0.192613,0.41255,1.386346,0.777806,-0.851913,0.877361,0.929392,0.830997,1.0,0.162853,inherited_taxonomy,taxon_aggregate_v1,true,avian_cooperation_synthesis_2018|avian_risk_choice_review_2021
Locusta migratoria,Migratory locust,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Locusta,false,curated_candidate_bank_v1,0.879,family,Acrididae,0.933267,0.667159,-0.614864,0.777993,0.719463,0.645524,0.606835,0.690768,0.42466,-0.857363,0.535494,0.476964,0.403025,0.364336,1.175766,0.909658,-0.372365,1.0,0.961962,0.888023,0.849334,0.123724,inherited_taxonomy,taxon_aggregate_v1,true,insect_collective_action_meta_2020|insect_foraging_risk_2017
Loxodonta africana,African bush elephant,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Loxodonta,false,assistant_curated_candidate_bank_v2,0.956,family,Elephantidae,0.789974,0.30707,-0.716031,0.865944,0.818291,0.699723,0.886941,0.549823,0.066919,-0.956182,0.625793,0.57814,0.459572,0.64679,1.030125,0.547221,-0.47588,1.0,1.0,0.939874,1.0,0.122526,inherited_taxonomy,taxon_aggregate_v1,true,mammal_cooperation_meta_2021|mammal_fairness_review_2019
Macaca mulatta,Rhesus macaque,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,true,seed_species,0.956,family,Cercopithecidae,0.872745,0.368304,-0.710495,0.835738,0.794466,0.68059,0.850622,0.625916,0.121475,-0.957324,0.588909,0.547637,0.433761,0.603793,1.119574,0.615133,-0.463666,1.0,1.0,0.927419,1.0,0.125933,inherited_taxonomy,taxon_aggregate_v1,true,mammal_cooperation_meta_2021|mammal_fairness_review_2019|primate_token_exchange_2022
Manduca sexta,Tobacco hornworm moth,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Manduca,false,curated_candidate_bank_v1,0.879,family,Sphingidae,1.174017,0.893976,-1.181572,0.372731,0.504313,0.400699,0.373237,0.858814,0.578773,-1.496775,0.057528,0.18911,0.085496,0.058034,1.48922,1.209179,-0.866369,0.687934,0.819516,0.715902,0.68844,0.160818,inherited_taxonomy,taxon_aggregate_v1,true,insect_collective_action_meta_2020|insect_foraging_risk_2017
