dataset_version,generated_at,species,common_name,kingdom,phylum,class,order,family,genus,risk_preference,temporal_discount_rate,effort_price_elasticity,cooperation_propensity,inequity_sensitivity,punishment_propensity,tokenization_capacity,risk_preference_lower,temporal_discount_rate_lower,effort_price_elasticity_lower,cooperation_propensity_lower,inequity_sensitivity_lower,punishment_propensity_lower,tokenization_capacity_lower,risk_preference_upper,temporal_discount_rate_upper,effort_price_elasticity_upper,cooperation_propensity_upper,inequity_sensitivity_upper,punishment_propensity_upper,tokenization_capacity_upper,uncertainty_sd,provenance_type,source_model
0.1.0,2026-03-17T20:12:09Z,Danio rerio,Zebrafish,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Danio,1.113065,0.666336,-1.025131,0.534405,0.559101,0.469426,0.4787,0.833188,0.38646,-1.305007,0.254528,0.279225,0.18955,0.198824,1.392941,0.946213,-0.745255,0.814281,0.838978,0.749302,0.758576,0.142794,imputed_trait,deterministic_heuristic_v0
0.1.0,2026-03-17T20:12:09Z,Poecilia reticulata,Guppy,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,1.096986,0.68662,-0.977804,0.559316,0.569473,0.484081,0.49445,0.815473,0.405107,-1.259317,0.277803,0.28796,0.202568,0.212937,1.378498,0.968133,-0.696291,0.840829,0.850986,0.765594,0.775963,0.143629,imputed_trait,deterministic_heuristic_v0
0.1.0,2026-03-17T20:12:09Z,Gasterosteus aculeatus,Three-spined stickleback,Animalia,Chordata,Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,1.087573,0.64087,-1.016298,0.553319,0.574001,0.482516,0.48995,0.62309,0.176387,-1.48078,0.088836,0.109518,0.018033,0.025467,1.552056,1.105352,-0.551815,1.0,1.0,0.946999,0.954433,0.236981,imputed_trait,deterministic_heuristic_v0
0.1.0,2026-03-17T20:12:09Z,Octopus vulgaris,Common octopus,Animalia,Mollusca,Cephalopoda,Octopoda,Octopodidae,Octopus,1.135511,0.600627,-1.345703,0.442671,0.539658,0.424382,0.624075,0.639486,0.104602,-1.841728,0.0,0.043633,0.0,0.12805,1.631536,1.096652,-0.849678,0.938696,1.0,0.920408,1.0,0.253074,imputed_trait,deterministic_heuristic_v0
0.1.0,2026-03-17T20:12:09Z,Sepia officinalis,Common cuttlefish,Animalia,Mollusca,Cephalopoda,Sepiida,Sepiidae,Sepia,1.119642,0.557401,-1.312813,0.460816,0.547341,0.434947,0.635325,0.678736,0.116495,-1.753719,0.01991,0.106435,0.0,0.194419,1.560547,0.998307,-0.871907,0.901722,0.988247,0.875853,1.0,0.224952,imputed_trait,deterministic_heuristic_v0
0.1.0,2026-03-17T20:12:09Z,Apis mellifera,Western honey bee,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,0.929561,0.718655,-0.62062,0.777867,0.697761,0.620987,0.625887,0.723156,0.512249,-0.827025,0.571461,0.491355,0.414582,0.419482,1.135967,0.92506,-0.414214,0.984272,0.904166,0.827393,0.832293,0.105309,imputed_trait,deterministic_heuristic_v0
0.1.0,2026-03-17T20:12:09Z,Bombus terrestris,Buff-tailed bumblebee,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,0.940214,0.716465,-0.640688,0.764264,0.690521,0.612503,0.617387,0.600526,0.376778,-0.980376,0.424577,0.350833,0.272816,0.2777,1.279902,1.056153,-0.301,1.0,1.0,0.952191,0.957075,0.17331,imputed_trait,deterministic_heuristic_v0
0.1.0,2026-03-17T20:12:09Z,Atta cephalotes,Leafcutter ant,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Atta,0.905297,0.739598,-0.564905,0.80887,0.711271,0.639279,0.645262,0.399798,0.234099,-1.070405,0.30337,0.205771,0.133779,0.139763,1.410797,1.245098,-0.059405,1.0,1.0,1.0,1.0,0.257908,imputed_trait,deterministic_heuristic_v0
0.1.0,2026-03-17T20:12:09Z,Drosophila melanogaster,Fruit fly,Animalia,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,1.118083,0.78794,-0.910891,0.535347,0.548307,0.462541,0.474262,0.798438,0.468296,-1.230536,0.215703,0.228662,0.142896,0.154618,1.437728,1.107585,-0.591247,0.854992,0.867951,0.782186,0.793907,0.163084,imputed_trait,deterministic_heuristic_v0
0.1.0,2026-03-17T20:12:09Z,Procambarus clarkii,Red swamp crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Cambaridae,Procambarus,1.110949,0.748908,-1.166723,0.488074,0.553219,0.445667,0.4877,0.64865,0.286609,-1.629023,0.025775,0.09092,0.0,0.025401,1.573249,1.211207,-0.704424,0.950374,1.0,0.907966,0.949999,0.235867,imputed_trait,deterministic_heuristic_v0
